OBJECTID,Shape,PARKNUMBER
550,"(40.858161331000076, -73.80210468799993)",X039
551,"(40.85824969200007, -73.8006971719999)",X039
552,"(40.57708588300005, -73.94568038499995)",B251
553,"(40.57659266100006, -73.9454196069999)",B251
554,"(40.62873999200008, -74.11785870799991)",R105
555,"(40.62932977600008, -74.11522138599992)",R034
556,"(40.62968949900005, -74.11511449699992)",R034
557,"(40.61819922800004, -74.1072887119999)",R005
558,"(40.61819888500008, -74.10698299499995)",R005
559,"(40.618265885000085, -74.1070988269999)",R005
560,"(40.61824444200005, -74.10701399499993)",R005
561,"(40.616590829000074, -74.10555410499995)",R005
562,"(40.616602552000074, -74.10554899399995)",R005
563,"(40.618151718000036, -74.10696499399995)",R005
564,"(40.61653571900007, -74.10438315999994)",R005
565,"(40.613938552000036, -74.11357682999994)",R005
566,"(40.613251338000055, -74.09919637899992)",R069
567,"(40.613393099000064, -74.09869816999992)",R069
568,"(40.61358336600006, -74.09828696399995)",R069
569,"(40.63030356200005, -74.08722481899991)",R011
570,"(40.622712221000086, -74.07933065199995)",R061
571,"(40.62688718700008, -74.07734718699993)",R028
572,"(40.631281888000046, -74.09532032399994)",R022
573,"(40.630396388000065, -74.09105598899993)",R022
574,"(40.629300889000035, -74.09199215699994)",R022
575,"(40.627458888000035, -74.09244665599994)",R022
576,"(40.62938388800006, -74.09195132299993)",R022
577,"(40.62868172100008, -74.0914454899999)",R022
578,"(40.62932505400005, -74.09195682299992)",R022
579,"(40.62689355400005, -74.0942354359999)",R022
580,"(40.62630722100005, -74.09334665699993)",R022
581,"(40.62495838800004, -74.09539682399992)",R022
582,"(40.80337209500004, -73.94277650799995)",M058
583,"(40.83233826800006, -73.9072946089999)",X206
584,"(40.837799602000075, -73.90788060999995)",X008
585,"(40.84146638000004, -73.90688244299992)",X008
586,"(40.84544107100004, -73.91355184799994)",X148C5
587,"(40.84099339900007, -73.90543210399994)",X008
588,"(40.81878126600009, -73.87056692999994)",X118
589,"(40.81833676600007, -73.87049759699994)",X118
590,"(40.818770044000075, -73.87064842899991)",X118
591,"(40.82207793400005, -73.85977809199994)",X221
592,"(40.82051365600006, -73.87089298599994)",X118
593,"(40.81943715500006, -73.87350104099994)",X118
594,"(40.84686763900004, -73.86144702799993)",X178
595,"(40.90707428300004, -73.89629060999994)",X092
596,"(40.90781680100008, -73.89536775699992)",X092
597,"(40.900687032000064, -73.89289960799994)",X092
598,"(40.88153480600005, -73.89607628599992)",X020
599,"(40.88156571500008, -73.8957057639999)",X020
600,"(40.88517966000006, -73.89105918199994)",X092
601,"(40.88718866700009, -73.89812044199994)",X092
602,"(40.891098724000074, -73.89296499799991)",X092
603,"(40.89100083500006, -73.8925266629999)",X092
604,"(40.89106155700006, -73.89282499699993)",X092
605,"(40.89158872400009, -73.89347566299995)",X092
606,"(40.89177339100007, -73.8937487739999)",X092
607,"(40.893267225000045, -73.89418466299992)",X092
608,"(40.89352272500008, -73.89411644199993)",X092
609,"(40.89337628000004, -73.89374382999995)",X092
610,"(40.89313883500006, -73.89391555199995)",X092
611,"(40.86926941400009, -73.8764550919999)",X002
612,"(40.86996157200008, -73.87533744799993)",X002
613,"(40.86949222700008, -73.87669147999992)",X002
614,"(40.80995520600004, -73.93990183999995)",M155
615,"(40.51858725200009, -74.18721806899993)",R031
616,"(40.51896902900006, -74.18757706999992)",R031
617,"(40.51655497400009, -74.1899454039999)",R031
618,"(40.516245807000075, -74.19033134799992)",R031
619,"(40.516349140000045, -74.19094440499993)",R031
620,"(40.516530474000035, -74.1909687939999)",R031
621,"(40.52246971800008, -74.18587364599995)",R085
622,"(40.51937697400007, -74.18641823599995)",R031
623,"(40.87351493700004, -73.8678291949999)",X214
624,"(40.673480012000084, -73.98540079199995)",B111A
625,"(40.672497845000066, -73.9858744579999)",B111A
626,"(40.66142350500007, -73.97902991599994)",B073
627,"(40.66466425900006, -73.97649670899995)",B073
628,"(40.66028877100007, -73.98658911699994)",B255G
629,"(40.66047167700009, -73.96350539499991)",B073
630,"(40.66645156800007, -73.92753793899993)",B054
631,"(40.66630490000006, -73.92757627199995)",B054
632,"(40.665614116000086, -73.92843666599993)",B054
633,"(40.66593855600007, -73.92790317899994)",B054
634,"(40.66588737400008, -73.92721015299992)",B054
635,"(40.66636422300007, -73.92695638899994)",B054
636,"(40.66721656800007, -73.92783627299991)",B054
637,"(40.666901720000055, -73.9263160239999)",B054
638,"(40.66666754100004, -73.92515668999994)",B054
639,"(40.722913678000054, -73.9526254509999)",B058
640,"(40.72147391100009, -73.95403378399993)",B058
641,"(40.72175157800007, -73.9549151729999)",B058
642,"(40.72094241100007, -73.95495118399992)",B058
643,"(40.72870485700008, -73.95797246399991)",B001
644,"(40.720776578000084, -73.94976228299993)",B058
645,"(40.719896033000055, -73.9481793409999)",B346
646,"(40.721579311000085, -73.95295871699994)",B058
647,"(40.72129021100005, -73.95285291599993)",B058
648,"(40.721469177000074, -73.95323368499993)",B058
649,"(40.721173011000076, -73.95314631699995)",B058
650,"(40.72060737800007, -73.95379241599994)",B058
651,"(40.63308402800004, -73.97724180099993)",B316
652,"(40.632818462000046, -73.97711141699995)",B316
653,"(40.61792850100005, -73.97294383999991)",B372
654,"(40.618619668000065, -73.9721414519999)",B372
655,"(40.60997137500004, -73.96905885199993)",B128
656,"(40.61029823100006, -73.96828479899995)",B128
657,"(40.58282041800004, -73.96515158199992)",B275
658,"(40.58275634700004, -73.96487694899992)",B275
659,"(40.58233742500005, -73.96454909899995)",B275
660,"(40.60136955100006, -73.97216190099994)",B244
661,"(40.57845154800009, -73.99494123399995)",B129
662,"(40.57835421500005, -73.9961552339999)",B129
663,"(40.57908315900005, -73.99233689899995)",B129
664,"(40.61100311200005, -74.03319173699992)",B035
665,"(40.84154533600008, -73.93534558499994)",M037
666,"(40.84114750200007, -73.93479455099992)",M037
667,"(40.842258436000066, -73.93414261799995)",M037
668,"(40.84224627000009, -73.9343647849999)",M037
669,"(40.85779829900008, -73.92468718999993)",M037
670,"(40.86266494000006, -73.92096461499995)",M199
671,"(40.86267494000003, -73.92061961499991)",M199
672,"(40.862390230000074, -73.92112940699991)",M199
673,"(40.838240435000046, -73.93599311899993)",M037
674,"(40.82606776500006, -73.95325395599991)",M072
675,"(40.82600243200005, -73.95335879099991)",M072
676,"(40.822503931000085, -73.95641179199993)",M072
677,"(40.82851076500003, -73.95258795699993)",M140
678,"(40.82948276500008, -73.95238645599994)",M140
679,"(40.73851970900006, -73.75649451299995)",Q349
680,"(40.73834741300004, -73.75678024599995)",Q349
681,"(40.732255930000065, -73.7318908439999)",Q358
682,"(40.73953805500008, -73.7360815479999)",Q001A
683,"(40.73976965500009, -73.73498374799993)",Q001A
684,"(40.74001850600007, -73.73450787999991)",Q001A
685,"(40.793487317000086, -73.8515220889999)",Q009
686,"(40.79186492800005, -73.85128164399993)",Q009
687,"(40.672646573000065, -73.7875128949999)",Q005
688,"(40.66822323900004, -73.78887456199993)",Q005
689,"(40.68126990900004, -73.78709456099995)",Q005
690,"(40.68136490900008, -73.78651122799994)",Q005
691,"(40.68253562000007, -73.78557009299993)",Q005
692,"(40.674209907000034, -73.7878578939999)",Q005
693,"(40.67450157400009, -73.78830956199994)",Q005
694,"(40.773019927000064, -73.7670778939999)",Q012
695,"(40.77254768800009, -73.76790436999994)",Q012
696,"(40.774474757000064, -73.76950808099991)",Q012B
697,"(40.701041244000066, -73.8428444139999)",Q015
698,"(40.70087552200005, -73.84248280199995)",Q015
699,"(40.70132096600008, -73.84247252499995)",Q015
700,"(40.73074541100004, -73.7921357159999)",Q294
701,"(40.73058491000006, -73.79258979299993)",Q294
702,"(40.728990585000076, -73.77356730899993)",Q021
703,"(40.701419799000064, -73.85581114099995)",Q015
704,"(40.67771207100009, -73.88430025999992)",B163
705,"(40.68414962800006, -73.88664059399991)",B047
706,"(40.767795801000034, -73.92262480999995)",Q436
707,"(40.768023381000035, -73.9219496959999)",Q436
708,"(40.774776589000055, -73.92318985999992)",Q066B
709,"(40.77543725600009, -73.92467472299995)",Q004
710,"(40.775992906000056, -73.92486890999993)",Q004
711,"(40.77513337500005, -73.92438139599994)",Q004
712,"(40.771855644000084, -73.91684599699994)",Q066F
713,"(40.77120373100007, -73.9174857989999)",Q066F
714,"(40.777396829000054, -73.90215091399995)",Q332
715,"(40.777553724000086, -73.90256007099993)",Q332
716,"(40.777865090000034, -73.90244543799992)",Q332
717,"(40.77132351200004, -73.90765614399993)",Q385
718,"(40.77154351200005, -73.90733575999991)",Q385
719,"(40.71987596900004, -73.88043786799994)",Q102
720,"(40.721138857000085, -73.8789364559999)",Q102
721,"(40.72112370200006, -73.8792485219999)",Q102
722,"(40.721006413000055, -73.88060542599993)",Q102
723,"(40.71092172300007, -73.7386855179999)",Q082
724,"(40.711018924000086, -73.72887532899995)",Q133
725,"(40.71048740900005, -73.7298009829999)",Q133
726,"(40.69875035800004, -73.73997877099993)",Q404
727,"(40.72042496100005, -73.8773572209999)",Q102
728,"(40.72100836800007, -73.8775528669999)",Q102
729,"(40.589002561000086, -73.80627949699993)",Q403
730,"(40.58823076900006, -73.80943529899992)",Q367
731,"(40.588385439000035, -73.80950753199994)",Q367
732,"(40.77052068900008, -73.9286372119999)",Q321
733,"(40.758077178000065, -73.82477102199994)",Q308
734,"(40.75802344900006, -73.82469729499991)",Q308
735,"(40.74227781900004, -73.82765632199994)",Q357G
736,"(40.59103704800009, -74.06522147899994)",R046
737,"(40.59251688200004, -74.06294814499995)",R046
738,"(40.593101715000046, -74.06245331199995)",R046
739,"(40.59015721500003, -74.06524647899994)",R046
740,"(40.59196654800007, -74.0638233119999)",R046
741,"(40.58865021500009, -74.06680475699994)",R046
742,"(40.58832943600004, -74.0673724799999)",R046
743,"(40.671060192000084, -73.96192834699991)",B044
744,"(40.67042129400005, -73.9618743819999)",B044
745,"(40.66338164200005, -73.9499913869999)",B284
746,"(40.66488583900008, -73.9524841349999)",B121
747,"(40.65945571700007, -73.94480517099993)",B254
748,"(40.65889745900006, -73.94452062399995)",B254
749,"(40.659556673000054, -73.94458647199991)",B254
750,"(40.741643811000074, -73.73988871599994)",Q001
751,"(40.74713475600004, -73.7448218859999)",Q001
752,"(40.74785299700005, -73.77604547199991)",Q293
753,"(40.735292419000075, -73.77180005999992)",Q021
754,"(40.73533433700004, -73.77181789299993)",Q021
755,"(40.736708503000045, -73.77059655999994)",Q021
756,"(40.73611983600006, -73.7686800589999)",Q021
757,"(40.73603917000008, -73.76862139299993)",Q021
758,"(40.735106503000054, -73.76801789199993)",Q021
759,"(40.73469766900007, -73.7696159759999)",Q021
760,"(40.73467808600009, -73.76968055999993)",Q021
761,"(40.73575975300008, -73.7698278929999)",Q021
762,"(40.73583683700008, -73.76985514199993)",Q021
763,"(40.735797253000044, -73.77002680899994)",Q021
764,"(40.735708670000065, -73.77037955899993)",Q021
765,"(40.73565525300006, -73.7703445599999)",Q021
766,"(40.73569038100004, -73.77705748999995)",Q221
767,"(40.74464325400004, -73.78724289899992)",Q300A
768,"(40.73634034100007, -73.80522227799992)",Q342
769,"(40.736176310000076, -73.80505591799994)",Q342
770,"(40.735820155000056, -73.80505695999994)",Q342
771,"(40.74380993400007, -73.81559967999993)",Q300
772,"(40.568889210000066, -74.09059406999995)",R046
773,"(40.56907737700004, -74.09118415299992)",R046
774,"(40.56944387600004, -74.09069148599991)",R046
775,"(40.56915746000004, -74.09030106999995)",R046
776,"(40.56949429300005, -74.08937598599994)",R046
777,"(40.570313543000054, -74.08928465299994)",R046
778,"(40.57009687700008, -74.08868815299991)",R046
779,"(40.57331471100008, -74.0845239009999)",R046
780,"(40.568684542000085, -74.0915913199999)",R046
781,"(40.56774004300007, -74.09146765299994)",R046
782,"(40.57120321000008, -74.08741881899994)",R046
783,"(40.57152287700006, -74.08780915099993)",R046
784,"(40.57227121100004, -74.08612198399993)",R046
785,"(40.57302737800006, -74.08501248499994)",R046
786,"(40.57478860900005, -74.08212955199991)",R046
787,"(40.57412829400005, -74.08307656799991)",R046
788,"(40.574232461000065, -74.08308631699992)",R046
789,"(40.57663304400006, -74.07949464899991)",R046
790,"(40.575456544000076, -74.0811858159999)",R046
791,"(40.790767980000055, -73.95951440199991)",M010
792,"(40.78710830600005, -73.94726735099994)",M215
793,"(40.79206086900007, -73.96132212499992)",M010
794,"(40.792114591000086, -73.95972712399993)",M010
795,"(40.791596869000045, -73.95831473499993)",M010
796,"(40.79307020300007, -73.95846156699992)",M010
797,"(40.79294548100006, -73.95734245599994)",M010
798,"(40.79305120300006, -73.95546889999991)",M010
799,"(40.79204703600004, -73.95583239899992)",M010
800,"(40.841256102000045, -73.94717212099994)",M028
801,"(40.84063076800004, -73.94747078799992)",M028
802,"(40.842393935000075, -73.94689978899993)",M028
803,"(40.84985760300009, -73.9466567899999)",M028
804,"(40.84856635500006, -73.94639054999993)",M028
805,"(40.84766455000005, -73.94637350799991)",M028
806,"(40.80502243500007, -73.92403373699995)",X041
807,"(40.80520659500007, -73.92403461299995)",X041
808,"(40.87421877500009, -73.92952561899995)",M042
809,"(40.87252544100005, -73.93019011799993)",M042
810,"(40.87122510800003, -73.93091195199992)",M042
811,"(40.870626154000036, -73.93185711199993)",M042
812,"(40.871513108000045, -73.9215002819999)",M042
813,"(40.870401608000066, -73.9206234479999)",M042
814,"(40.87176127500004, -73.91988644899993)",M042
815,"(40.87209394200005, -73.92020828199992)",M042
816,"(40.87045694200009, -73.92122044799993)",M042
817,"(40.86944760700004, -73.92206211699994)",M042
818,"(40.87458794200006, -73.92000211499993)",M042
819,"(40.84825444100005, -73.82557575099992)",X039
820,"(40.84845477400006, -73.82509841699994)",X039
821,"(40.846283274000086, -73.8250212499999)",X039
822,"(40.846661607000044, -73.82448125099995)",X039
823,"(40.84714494000008, -73.82578291699991)",X039
824,"(40.791404259000046, -73.9460411199999)",M148
825,"(40.58575773100006, -74.1007995889999)",R067
826,"(40.58706765100004, -74.09937218899995)",R067
827,"(40.587234797000065, -74.10040105799993)",R067
828,"(40.58603806700006, -74.10049276699993)",R067
829,"(40.58618570400006, -74.10053306499992)",R067
830,"(40.60266753700006, -74.08996885699992)",R073
831,"(40.595775651000054, -73.74413028099991)",Q162J
832,"(40.61102634000008, -73.74910904599994)",Q345
833,"(40.61115384100009, -73.74935182399992)",Q345
834,"(40.611054007000064, -73.74969493499992)",Q345
835,"(40.620337222000046, -73.95831912099993)",B150
836,"(40.62004594000007, -73.95810498399993)",B150
837,"(40.696493075000035, -73.7860274219999)",Q402
838,"(40.72885025000005, -74.00238519299995)",M120A
839,"(40.72981399300005, -74.0027793619999)",M027
840,"(40.73003075200006, -74.00645146999994)",M038
841,"(40.729651027000045, -74.00645143299994)",M038
842,"(40.728071141000044, -74.00275868499995)",M120B
843,"(40.73054285500007, -74.00139010599992)",M125B
844,"(40.711306807000085, -73.99402796899994)",M019
845,"(40.711008495000044, -73.99337303899995)",M019
846,"(40.71075962000003, -73.99364596099991)",M019
847,"(40.71216668400007, -73.99752375499992)",M196
848,"(40.71218254300004, -73.99729702499991)",M196
849,"(40.71448268800009, -73.99978153399991)",M015
850,"(40.72028090900005, -73.99243146299995)",M105
851,"(40.65764949000004, -73.84376875799995)",Q421
852,"(40.657268705000035, -73.84360797799991)",Q421
853,"(40.64776929800007, -73.93109624199991)",B234
854,"(40.64929923400007, -73.9139490199999)",B271
855,"(40.64919576900007, -73.91411235599992)",B271
856,"(40.64907679300006, -73.9140398909999)",B271
857,"(40.649495985000044, -73.91416279599991)",B271
858,"(40.658811074000084, -73.92216048999995)",B304
859,"(40.63646645700004, -73.92015425099993)",B236
860,"(40.63675508600005, -73.91998161599992)",B236
861,"(40.63667211300009, -73.92019994899994)",B236
862,"(40.64310318000008, -73.92319974299994)",B285
863,"(40.643331439000065, -73.92317686299992)",B285
864,"(40.64273292000007, -73.92342068699992)",B285
865,"(40.743763984000054, -73.8616599959999)",Q046
866,"(40.73255543000005, -73.87262085799995)",Q360N
867,"(40.733109924000075, -73.87240410499993)",Q360N
868,"(40.733011403000035, -73.8716339579999)",Q360N
869,"(40.76226765600006, -73.73507662499992)",Q369
870,"(40.762180320000084, -73.73589839499994)",Q369
871,"(40.76173285400006, -73.73531344199995)",Q369
872,"(40.76196057000004, -73.73518215299993)",Q369
873,"(40.583648071000084, -73.94150799599993)",B240
874,"(40.589146231000086, -73.94035447899995)",B239
875,"(40.58862797000006, -73.94028894399992)",B239
876,"(40.67446835900006, -73.75674853499993)",Q396
877,"(40.67442694300007, -73.75634902799993)",Q396
878,"(40.67572533200007, -73.75639757399995)",Q396
879,"(40.81086826200004, -73.94741795499993)",M211A
880,"(40.81224541000006, -73.94636028999992)",M211B
881,"(40.81217826200009, -73.94674628799993)",M211B
882,"(40.812138263000065, -73.94690628699993)",M211B
883,"(40.81223326300005, -73.94679295399993)",M211B
884,"(40.81130492900007, -73.94713795399991)",M211A
885,"(40.81031646900004, -73.9399793899999)",M155
886,"(40.812346596000054, -73.93724961799995)",M193
887,"(40.81199159600004, -73.9367796169999)",M193
888,"(40.81353659600006, -73.9386146189999)",M217
889,"(40.81395159600004, -73.93875961899994)",M217
890,"(40.81551384200009, -73.93758208199995)",M110
891,"(40.81700343000006, -73.9392312299999)",M160
892,"(40.81730020800006, -73.93928245199993)",M160
893,"(40.819516598000064, -73.93638128399994)",M186
894,"(40.81976826500005, -73.9361029499999)",M186
895,"(40.81991993100007, -73.93588794999994)",M186
896,"(40.81900826400005, -73.93618295099992)",M186
897,"(40.81874993100007, -73.93544461699992)",M186
898,"(40.81925826400004, -73.93469128399994)",M186
899,"(40.821414659000084, -73.94183166199991)",M245
900,"(40.821213027000056, -73.94117821499992)",M245
901,"(40.821649397000044, -73.94160622099992)",M245
902,"(40.825197020000076, -73.93731695799994)",M138
903,"(40.82517046300006, -73.93588349399994)",M159
904,"(40.82492076500006, -73.93563578899995)",M159
905,"(40.60619122600008, -73.81913690499994)",Q456
906,"(40.609023094000065, -74.00004214599994)",B158
907,"(40.902739893000046, -73.90414138999995)",X152
908,"(40.68306436000006, -73.90532358099995)",B131
909,"(40.67839665100007, -73.90517304199994)",B219
910,"(40.68855658800004, -73.9111012109999)",B307
911,"(40.68795572600004, -73.91115349499995)",B307
912,"(40.68610889900009, -73.91080671199995)",B332
913,"(40.68603523300004, -73.91064120399994)",B332
914,"(40.67867477600004, -73.89488336599993)",B402
915,"(40.67863583400003, -73.89515648399993)",B402
916,"(40.67158075700007, -73.89470887699991)",B078
917,"(40.67109220100008, -73.89469517399993)",B078
918,"(40.670977838000056, -73.89415985399995)",B078
919,"(40.725494292000064, -73.76617797499995)",Q021B
920,"(40.72162395500004, -73.7580937489999)",Q322
921,"(40.72147608100005, -73.75786468299992)",Q322
922,"(40.744517881000036, -73.88680755399992)",Q098
923,"(40.74418254900007, -73.88694383899991)",Q098
924,"(40.74413909000003, -73.88648587199992)",Q098
925,"(40.75423538700005, -73.88943705499992)",Q303
926,"(40.75363448000007, -73.88959048499993)",Q303
927,"(40.754329848000054, -73.88944818899995)",Q303
928,"(40.76006887200003, -73.9116665279999)",Q014
929,"(40.75989345600004, -73.91207615099995)",Q014
930,"(40.69193138800006, -73.99958453499994)",B223D
931,"(40.692191017000084, -73.99900776299995)",B223D
932,"(40.675511447000076, -73.92048760099993)",B153
933,"(40.67592207700005, -73.9207282989999)",B153
934,"(40.669030733000056, -73.91195173799991)",B362
935,"(40.66852213000004, -73.91182974599991)",B362
936,"(40.67412827000004, -73.91226235499994)",B144
937,"(40.67561174000008, -73.91973554399993)",B153
938,"(40.67159340300009, -73.90812043499994)",B260
939,"(40.67184350500008, -73.9075698449999)",B260
940,"(40.68524157200005, -73.91783460399995)",B079
941,"(40.68490823800005, -73.91953127099993)",B079
942,"(40.684906571000056, -73.92010960499994)",B079
943,"(40.67127996700009, -73.90447589199994)",B156
944,"(40.68024323700007, -73.92091246199993)",B347
945,"(40.68017460900006, -73.92032470299995)",B347
946,"(40.68180047300007, -73.91383744299992)",B110
947,"(40.681784847000074, -73.91363419299995)",B110
948,"(40.68173045300006, -73.91332597099995)",B110
949,"(40.67834026600008, -73.91431863699995)",B325
950,"(40.67812208200007, -73.91486651499991)",B325
951,"(40.696669013000076, -73.9855967339999)",B061
952,"(40.69665955900007, -73.9863703499999)",B061
953,"(40.69658765300005, -73.99062835699993)",B113A
954,"(40.597857445000045, -74.07117235999993)",R062
955,"(40.831029492000084, -73.90688645099993)",X286
956,"(40.83209160000007, -73.90766960999991)",X206
957,"(40.825518344000045, -73.90167387299994)",X166
958,"(40.82548843300009, -73.9010322819999)",X166
959,"(40.82608760100004, -73.9012555779999)",X166
960,"(40.82520162700007, -73.9011369349999)",X166
961,"(40.85234604000004, -73.8349187149999)",X122
962,"(40.85239573800004, -73.83446549899992)",X122
963,"(40.670467046000056, -73.73616375599994)",Q108
964,"(40.71778474700005, -73.85253214099993)",QZ53
965,"(40.72070249600006, -73.85957131299995)",Q306
966,"(40.72043603000009, -73.85980792399994)",Q306
967,"(40.720719047000046, -73.86015099399992)",Q306
968,"(40.72067485100007, -73.86073080099993)",Q306
969,"(40.665677816000084, -73.82084636899992)",Q096E
970,"(40.66539112800007, -73.82056673799991)",Q096E
971,"(40.647873048000065, -74.08223487999993)",R066
972,"(40.63906260300007, -74.08982860999993)",R123
973,"(40.64358216900007, -74.0856449879999)",R025
974,"(40.638851394000085, -74.08378240399992)",R037
975,"(40.643587180000054, -74.08004701399994)",R111
976,"(40.641915890000064, -74.07569335799991)",R004
977,"(40.57699743300009, -74.09918837899994)",R038A
978,"(40.576741378000065, -74.09902060099995)",R038A
979,"(40.57684221200009, -74.09861598799995)",R038A
980,"(40.576280878000034, -74.09756171099991)",R038A
981,"(40.57601432200005, -74.09750732099991)",R038A
982,"(40.57484343300007, -74.0983858219999)",R038
983,"(40.57533609900008, -74.09891526799993)",R038
984,"(40.636882505000074, -74.13152769499993)",R019
985,"(40.633868702000086, -74.12911257499991)",R033
986,"(40.633776830000045, -74.12906188599993)",R033
987,"(40.641086844000085, -74.13564442599994)",R008
988,"(40.64093951800004, -74.1354271379999)",R008
989,"(40.63094305800007, -74.16510232299993)",R068
990,"(40.61990061800009, -74.16353498599995)",R114
991,"(40.61986921000005, -74.16339539199993)",R114
992,"(40.61980086300008, -74.16296535899994)",R114
993,"(40.61976373400006, -74.16280689799993)",R114
994,"(40.620240857000056, -74.16269493899995)",R114
995,"(40.61676788300008, -74.16295923399991)",R075A
996,"(40.902150393000056, -73.90498455699992)",X152
997,"(40.902127170000085, -73.90475122299995)",X152
998,"(40.63453705500007, -73.88716565199991)",B274
999,"(40.63468040200007, -73.8873116119999)",B274
1000,"(40.62523399300005, -74.01763786499993)",B092
1001,"(40.84868985400004, -73.85158094799993)",X163
1002,"(40.87761986000004, -73.89223027299994)",X136
1003,"(40.71517665400006, -74.00251491599994)",M030A
1004,"(40.72221175000004, -74.00501501399992)",M222
1005,"(40.72011465700007, -73.9810998989999)",M033
1006,"(40.71959422700007, -73.98423226299991)",M241
1007,"(40.59296355300006, -73.94588343999993)",B109
1008,"(40.59214021900004, -73.9458879419999)",B109
1009,"(40.591699659000085, -73.94532726099993)",B109
1010,"(40.58634804700006, -73.9572269539999)",B166B
1011,"(40.67967405300004, -73.9340012259999)",B038
1012,"(40.679945158000066, -73.93181593799994)",B038
1013,"(40.67904723800007, -73.9416413639999)",B225
1014,"(40.682889371000044, -73.93053741199992)",B313
1015,"(40.68274132600004, -73.93078614199993)",B313
1016,"(40.67965834700004, -73.9310854979999)",B200
1017,"(40.682010898000044, -73.9439654439999)",B262
1018,"(40.68217230300007, -73.94427245199995)",B262
1019,"(40.68205136600005, -73.94428049699991)",B262
1020,"(40.68013157000007, -73.9273412739999)",B294
1021,"(40.680229903000054, -73.92735127299994)",B294
1022,"(40.68037657000008, -73.9274546069999)",B294
1023,"(40.68009323700005, -73.92830793999991)",B294
1024,"(40.68017490400007, -73.92776460699992)",B294
1025,"(40.681522236000035, -73.93635502899991)",B215
1026,"(40.67570032900005, -73.86324385299991)",B283
1027,"(40.73209580900004, -73.73155313699993)",Q358
1028,"(40.73298228500005, -73.71786196099993)",Q328
1029,"(40.740909060000035, -73.71285514399995)",Q352
1030,"(40.72562469700006, -73.72903226699992)",Q134
1031,"(40.726206808000086, -73.72885998999993)",Q134
1032,"(40.72654453000007, -73.72923410099992)",Q134
1033,"(40.65262359500008, -73.7367721729999)",Q430
1034,"(40.58807879300008, -73.80922918099992)",Q367
1035,"(40.85326827200004, -73.8890979379999)",X068
1036,"(40.83501731900009, -73.88160402799991)",X147
1037,"(40.824183617000074, -73.89070486599991)",X284
1038,"(40.824706620000086, -73.89422242099994)",X190
1039,"(40.82240721100004, -73.88828476999993)",X029
1040,"(40.822850989000074, -73.88797387999995)",X029
1041,"(40.82110326600008, -73.91169294299993)",X146
1042,"(40.82098159900005, -73.91198127699994)",X146
1043,"(40.824990365000076, -73.91527092399991)",X032
1044,"(40.819873967000035, -73.9086049739999)",X235
1045,"(40.81979080200006, -73.90896844299994)",X235
1046,"(40.86457106700004, -73.89500314199995)",X040
1047,"(40.86434282200008, -73.89520680699991)",X040
1048,"(40.86206682900007, -73.89045088299991)",X042
1049,"(40.59561507800004, -74.08185237399994)",R063
1050,"(40.595328547000065, -74.08102247199992)",R063
1051,"(40.68178468000008, -73.83934552799991)",Q118
1052,"(40.68174693100008, -73.83959584199994)",Q118
1053,"(40.78119393900005, -73.84449213699992)",Q011
1054,"(40.78159472700008, -73.84464168499994)",Q011
1055,"(40.726860602000045, -74.00323833699991)",M207
1056,"(40.71238440800005, -73.98855379399993)",M132
1057,"(40.71214524200008, -73.98837846099991)",M132
1058,"(40.714456409000036, -73.98963762799991)",M082
1059,"(40.71524290800005, -73.98942329499994)",M082
1060,"(40.72173180200008, -73.99593874899995)",M218
1061,"(40.600381381000034, -73.97228486499995)",B244
1062,"(40.59129357000006, -73.98102818599995)",B272
1063,"(40.65536567400005, -73.90590475499994)",B343
1064,"(40.65582057800009, -73.90604192099994)",B343
1065,"(40.65618225900005, -73.9062634359999)",B343
1066,"(40.660202740000045, -73.90412027699995)",B377
1067,"(40.661316567000085, -73.9039179319999)",B377
1068,"(40.65672494900008, -73.90218849299993)",B270
1069,"(40.65675537900006, -73.90164487499993)",B270
1070,"(40.63860855100006, -73.9378888899999)",B218
1071,"(40.63769360100008, -73.9379915319999)",B218
1072,"(40.63714310800009, -73.93810401199994)",B218
1073,"(40.631171695000035, -73.95650319399994)",B212
1074,"(40.74722556200004, -73.92259616199993)",Q340
1075,"(40.74721269600008, -73.92205780199993)",Q340
1076,"(40.74722177700005, -73.9216221609999)",Q340
1077,"(40.74094091500007, -73.92211660899994)",Q044
1078,"(40.74730747600006, -73.91012894599993)",Q031
1079,"(40.61452254900007, -73.94475287199992)",B208
1080,"(40.624877722000065, -73.91960402299992)",B324
1081,"(40.625397157000066, -73.91928284199992)",B324
1082,"(40.625890747000085, -73.91915947899992)",B324
1083,"(40.62052884500008, -73.91360857799992)",B330
1084,"(40.62041594900006, -73.90139120499992)",B166D
1085,"(40.62048533700005, -73.90133776099992)",B166D
1086,"(40.620373559000086, -73.90016392899992)",B166D
1087,"(40.62039622600008, -73.89999364999994)",B166D
1088,"(40.619419003000075, -73.90017359399991)",B166D
1089,"(40.61941372600006, -73.90017020599993)",B166D
1090,"(40.61808572600006, -73.89873881599993)",B166D
1091,"(40.61787028200007, -73.89855881599993)",B166D
1092,"(40.61843433700005, -73.89871764999992)",B166D
1093,"(40.61877472600008, -73.89856492699994)",B166D
1094,"(40.61911205900009, -73.89828453699994)",B166D
1095,"(40.61984583600008, -73.89839798299994)",B166D
1096,"(40.61986411400005, -73.89890876099992)",B166D
