OBJECTID,Shape,PARKNUMBER
125,"(40.67901032900005, -73.9424997509999)",B225
126,"(40.67854327200007, -73.94192383299992)",B225
127,"(40.67444708100004, -73.94414433599991)",B012
128,"(40.607553445000065, -73.93818760599993)",B057
129,"(40.606525883000074, -73.92631922899994)",B057
130,"(40.827506432000064, -73.93998728499992)",M014
131,"(40.827888933000054, -73.93974786799993)",M014
132,"(40.82729258300009, -73.94068092299995)",M014
133,"(40.825921099000084, -73.94116153699991)",M014
134,"(40.82587351500007, -73.94127028699995)",M014
135,"(40.805339761000084, -73.94216378399994)",M058
136,"(40.88686166800005, -73.89829260999994)",X092
137,"(40.85118993800006, -73.91431961199993)",X001A
138,"(40.66649656700008, -73.92783627299991)",B054
139,"(40.666304901000046, -73.9281112729999)",B054
140,"(40.57421404400009, -74.08414248499992)",R046
141,"(40.716231522000044, -73.93744972299993)",B025
142,"(40.718792937000046, -73.9390358039999)",B257
143,"(40.70388651300004, -73.80483820099994)",Q023
144,"(40.70291453700008, -73.80425443999991)",Q023
145,"(40.704208279000056, -73.80372268299993)",Q023
146,"(40.743449231000056, -73.81483834399995)",Q300
147,"(40.71139985800005, -73.79843906699995)",Q052
148,"(40.716055087000086, -73.80116257199995)",Q391
149,"(40.71562796500007, -73.80131296699994)",Q391
150,"(40.715566558000035, -73.80079619999992)",Q391
151,"(40.863175940000076, -73.91078061199994)",X150E
152,"(40.87125038800008, -73.89790780999994)",X038
153,"(40.66087878700006, -73.96330278399995)",B073
154,"(40.660682732000055, -73.96340561699992)",B073
155,"(40.66335940600004, -73.97704170499992)",B073
156,"(40.66371911500005, -73.9766932359999)",B073
157,"(40.68031173500009, -74.00284474199992)",B223A
158,"(40.67984829000005, -74.00313996499995)",B223A
159,"(40.680754180000065, -74.00204018599993)",B223B
160,"(40.68051701200005, -74.00192601899994)",B223B
161,"(40.678366259000086, -74.00766731999994)",B077
162,"(40.67716770900006, -74.00916389899993)",B077
163,"(40.68292898700008, -74.00588099499993)",B210H
164,"(40.617381797000064, -74.04005938899991)",B082
165,"(40.649417612000036, -74.0121455339999)",B210J
166,"(40.64910003700004, -74.01203278299994)",B210J
167,"(40.64947483700007, -74.01213051899992)",B210J
168,"(40.647627036000074, -74.00455400599992)",B087
169,"(40.647508747000074, -74.00366508199994)",B087
170,"(40.64804120400004, -74.00341051799995)",B087
171,"(40.64781772400005, -74.0027546039999)",B087
172,"(40.689476572000046, -73.95749961699994)",B317
173,"(40.68966477200007, -73.95730197199993)",B317
174,"(40.693407893000085, -73.9418659339999)",B322
175,"(40.69448612200006, -73.94658794899993)",B348
176,"(40.695297925000034, -73.9511770659999)",B217
177,"(40.695663969000066, -73.95060041699992)",B217
178,"(40.69522579000005, -73.95182064799991)",B217
179,"(40.689672544000075, -73.94584933599992)",B088
180,"(40.68664705700007, -73.93944460999995)",B216
181,"(40.68554970800005, -73.94631650499991)",B323
182,"(40.685657449000075, -73.94621527699991)",B323
183,"(40.72475428900009, -73.94344392199991)",B114
184,"(40.724963064000065, -73.94366088399994)",B114
185,"(40.724520995000034, -73.9435965319999)",B114
186,"(40.58892604500005, -74.18596092099995)",R045
187,"(40.59019119900006, -74.1881781429999)",R045
188,"(40.628048721000084, -74.09945982599993)",R022
189,"(40.62758388800006, -74.10033332599994)",R022
190,"(40.71485924400008, -74.00026773199994)",M015
191,"(40.71497154900004, -74.0001895929999)",M015
192,"(40.88129476900008, -73.9190709749999)",X080
193,"(40.81732082100007, -73.87016742899993)",X118
194,"(40.78854814600004, -73.96639634699994)",M010
195,"(40.87368561100004, -73.83875808899995)",X196
196,"(40.87398922300008, -73.83978920099992)",X196
197,"(40.87356100000005, -73.8388720339999)",X196
198,"(40.873049500000036, -73.83884097799995)",X196
199,"(40.872879889000046, -73.83957397799992)",X196
200,"(40.88774586200009, -73.91482695099995)",X186
201,"(40.88785924200005, -73.91438841999991)",X186
202,"(40.88711160400004, -73.91622124299994)",X171
203,"(40.88053303300006, -73.91754657799993)",X110B
204,"(40.72419907700004, -73.97280295799993)",M144
205,"(40.72693607900004, -73.98136312699995)",M088
206,"(40.727140244000054, -73.9814771259999)",M088
207,"(40.72697524500006, -73.98207979299991)",M088
208,"(40.72667041100004, -73.98217862699994)",M088
209,"(40.72617374400005, -73.98260429299995)",M088
210,"(40.72663291100008, -73.9806217929999)",M088
211,"(40.72644257700006, -73.98086212599992)",M088
212,"(40.725781744000074, -73.98150212699994)",M088
213,"(40.72564391100008, -73.98132212699994)",M088
214,"(40.725451743000065, -73.98172362699995)",M088
215,"(40.722614243000066, -73.99127329599992)",M105
216,"(40.72258892200006, -73.99088200499995)",M105
217,"(40.84593804700006, -73.94066217599993)",M099
218,"(40.589143826000054, -74.0674352019999)",R046
219,"(40.58850621400006, -74.06747086899992)",R046
220,"(40.58916321400005, -74.06749597999993)",R046
221,"(40.588585214000034, -74.06749397999994)",R046
222,"(40.588360547000036, -74.06731031299995)",R046
223,"(40.56848037600008, -74.09100431999991)",R046
224,"(40.85331924900004, -73.92664170899991)",M037
225,"(40.85265279300006, -73.92715771799993)",M037
226,"(40.85296671800006, -73.92687433599991)",M037
227,"(40.836262601000044, -73.93656645199991)",M037
228,"(40.83769343400007, -73.9360256189999)",M037
229,"(40.825703099000066, -73.95383712299991)",M072
230,"(40.82985826600009, -73.9524864569999)",M140
231,"(40.739605389000076, -73.73440108099993)",Q001A
232,"(40.793429262000075, -73.85125697799992)",Q009
233,"(40.701554188000046, -73.85626580699994)",Q015
234,"(40.70894309100004, -73.78150028999994)",Q120
235,"(40.70919631000004, -73.78169809799994)",Q120
236,"(40.63560698400005, -74.0193855629999)",B052
237,"(40.64584454700008, -74.01951589599992)",B098
238,"(40.64059844900004, -74.01130563099991)",B265
239,"(40.74229606800009, -73.80852417799991)",Q024
240,"(40.74251692900009, -73.80818763099995)",Q024
241,"(40.689701461000084, -73.74329772199991)",Q339
242,"(40.68892650200007, -73.74242242799994)",Q339
243,"(40.68882865900008, -73.74226727699994)",Q339
244,"(40.688599218000036, -73.74243283999994)",Q339
245,"(40.68464491000009, -73.72856415299992)",Q307
246,"(40.68472133500006, -73.72863445799993)",Q307
247,"(40.72151050900004, -73.94995213899995)",B058
248,"(40.72116024400009, -73.94958178199994)",B058
249,"(40.72093324400004, -73.95011994999993)",B058
250,"(40.64563874800007, -74.01998327899992)",B098
251,"(40.78357358900007, -73.98477596399994)",M071
252,"(40.78337958900005, -73.98484563099993)",M071
253,"(40.72184671300005, -73.82368143999992)",Q212
254,"(40.721814176000066, -73.82353055499993)",Q212
255,"(40.72291865800008, -73.82692951399991)",Q099
256,"(40.722987114000034, -73.82712345699991)",Q099
257,"(40.723230468000054, -73.82726819499993)",Q099
258,"(40.729717993000065, -73.8165142659999)",Q320
259,"(40.84198777000006, -73.8949328839999)",X010
260,"(40.836914006000086, -73.89387921499991)",X010
261,"(40.867332941000086, -73.92884595099991)",M042
262,"(40.638214720000065, -73.89758984799994)",B097
263,"(40.63081672800007, -73.89335909199991)",B018
264,"(40.63065600600004, -73.89313548099994)",B018
265,"(40.631038784000054, -73.89261648199994)",B018
266,"(40.68409851700005, -73.8855714259999)",B047
267,"(40.68393035000008, -73.88588792699994)",B047
268,"(40.88509763600007, -73.89055477599993)",X092
269,"(40.88520768400008, -73.89069941699995)",X092
270,"(40.79572058100007, -73.95035701499995)",M010
271,"(40.876908693000075, -73.87829835199994)",X104
272,"(40.876773944000035, -73.87796435299992)",X104
273,"(40.87799737900008, -73.87830168199991)",X104
274,"(40.87702416700006, -73.87853176099992)",X104
275,"(40.87693727000004, -73.87829019199995)",X104
276,"(40.87874499900005, -73.87680962099995)",X104
277,"(40.878134043000045, -73.87740836699993)",X104
278,"(40.87793553100005, -73.87765046399994)",X104
279,"(40.79301200900005, -73.94328341699992)",M230
280,"(40.74760220500008, -73.8100141939999)",Q024
281,"(40.835708268000076, -73.90336294199994)",X222
282,"(40.83857749100008, -73.89905143899995)",X010
283,"(40.83815471400004, -73.89862494099992)",X010
284,"(40.838029102000064, -73.8985481069999)",X010
285,"(40.84168160300004, -73.89731560599995)",X010
286,"(40.84486827000006, -73.89885793999991)",X281
287,"(40.838008621000085, -73.8903855719999)",X010
288,"(40.84027882600009, -73.8950784939999)",X010
289,"(40.839879214000064, -73.89538816099991)",X010
290,"(40.83509203600005, -73.88533046099991)",X273
291,"(40.835632557000054, -73.88495988599993)",X273
292,"(40.83603313500004, -73.89685801599995)",X010
293,"(40.838111635000075, -73.89334193999991)",X010
294,"(40.75387063800008, -73.75965983099991)",Q400
295,"(40.75326111500004, -73.75964353499995)",Q400
296,"(40.67644141400007, -73.9656502169999)",B161
297,"(40.67692285700008, -73.97856204899995)",B320
298,"(40.67691338900005, -73.97828581499994)",B320
299,"(40.65653018100005, -73.95474940699995)",B267
300,"(40.65649270000006, -73.95493909499993)",B267
301,"(40.65346827600007, -73.9679212929999)",B073
302,"(40.57585664700008, -73.97749207099992)",B296
303,"(40.57634730700005, -73.97824242799993)",B296
304,"(40.57602042000008, -73.9789019179999)",B296
305,"(40.578420548000054, -73.98055445099993)",B331
306,"(40.57363590300008, -73.99265873999991)",B315
307,"(40.57282071000009, -73.99201414299995)",B169B
308,"(40.57161068800008, -73.99608653399991)",B268
309,"(40.62349994500005, -73.98348745399994)",B042
310,"(40.623097545000064, -73.98386964499991)",B042
311,"(40.62373124000004, -73.98418415799995)",B042
312,"(40.62346581700007, -73.9843752669999)",B042
313,"(40.62402248300003, -73.98498199699992)",B042
314,"(40.61945833600004, -73.99857931799994)",B099
315,"(40.61886736900004, -73.9984039119999)",B099
316,"(40.598949624000056, -73.76701083199993)",Q007
